	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000163975.12|MELTF|protein_coding	4.223192339326935	2.1973062679826487	0.12226470811854967	17.971713193410707	3.2453597962702775e-72	6.764303423366139e-68
ENSG00000115163.15|CENPA|protein_coding	4.405742093145126	1.4897921465204371	0.08745705192420078	17.034557119666502	4.551744303147972e-65	4.7436003255256585e-61
ENSG00000107937.19|GTPBP4|protein_coding	13.539091829368012	0.8207375134071802	0.048265829760025775	17.004525095452163	7.601870815179068e-65	5.281526446692578e-61
ENSG00000136943.11|CTSV|protein_coding	2.17098473193779	1.9520196352390462	0.12099944519323293	16.132467649927833	1.5086991700783702e-58	7.861454200485868e-55
ENSG00000140545.15|MFGE8|protein_coding	31.920964745501827	1.7017597829669888	0.10642138241839375	15.990769376369787	1.4818946506979757e-57	6.177426040899582e-54
ENSG00000203760.9|CENPW|protein_coding	14.720435745960707	1.515070680107852	0.09547458810922066	15.86883703938735	1.0415288631503596e-56	3.618097682440491e-53
ENSG00000137310.12|TCF19|protein_coding	10.814526361400958	1.0393454702930902	0.06714573360358846	15.478950255114118	4.812617594012256e-54	1.4329912644571064e-50
ENSG00000140534.14|TICRR|protein_coding	1.142611140814938	1.5320219534256931	0.09944374735169183	15.405915346367214	1.49359110315414e-53	3.8913649203802177e-50
ENSG00000124795.17|DEK|protein_coding	22.151040537586326	0.9352742480481608	0.06095200095286989	15.344438794902663	3.858820321984121e-53	8.042939197111504e-50
ENSG00000181617.6|FDCSP|protein_coding	141.41193649423923	4.271699951308218	0.2783563059999152	15.34615835615206	3.757910986103186e-53	8.042939197111504e-50
ENSG00000163072.16|NOSTRIN|protein_coding	5.849375320727229	-1.6260022002745622	0.10666518960725399	-15.24398171757417	1.8052542197072933e-52	3.4206285183053737e-49
ENSG00000134690.11|CDCA8|protein_coding	10.839657348946918	1.2138648392839853	0.07972459595260573	15.225725822500216	2.386947860029374e-52	3.985622605236423e-49
