Feature,Importance,Input_Weight_Importance
BTN1A1,6.813919,6.813919
CSN1S1,6.4438257,6.4438257
CSN2,6.2962904,6.2962904
CNMD,6.1070166,6.1070166
C1S,6.0479984,6.0479984
SPDEF,6.003394,6.003394
SULT1C3,5.922246,5.922246
EN1,5.884433,5.884433
CHGB,5.862198,5.862198
ISLR,5.838318,5.838318
VIM,5.8170853,5.8170853
MRC2,5.813139,5.813139
COL11A2,5.7930765,5.7930765
ERRFI1,5.7839694,5.7839694
DUSP5,5.7812853,5.7812853
FSCN1,5.778159,5.778159
XBP1,5.748431,5.748431
S100A11,5.744106,5.744106
SCPEP1,5.7422333,5.7422333
PAPSS1,5.731812,5.731812
PAFAH1B3,5.728403,5.728403
AKR1B15,5.7267523,5.7267523
FOXA1,5.7241755,5.7241755
CAV1,5.7217064,5.7217064
CKM,5.721272,5.721272
NCAPD2,5.714327,5.714327
MT-CO1,5.712166,5.712166
GSN,5.706371,5.706371
HSD17B10,5.704629,5.704629
SERPINF1,5.694664,5.694664
FN1,5.686599,5.686599
RHOB,5.672441,5.672441
COPA,5.6621733,5.6621733
COL9A3,5.661066,5.661066
C6orf15,5.658122,5.658122
ELF5,5.643761,5.643761
COL3A1,5.6433606,5.6433606
CALU,5.642859,5.642859
RAMP3,5.6414986,5.6414986
FCRLB,5.63422,5.63422
FBLN2,5.6327157,5.6327157
RPL32,5.6289825,5.6289825
HID1,5.6280203,5.6280203
GATA3,5.626234,5.626234
ARHGDIA,5.6248426,5.6248426
SULF1,5.6248417,5.6248417
ZFP36L2,5.6248007,5.6248007
TAGLN,5.624634,5.624634
SERPINB5,5.6140575,5.6140575
CCL5,5.613151,5.613151
MRC1,5.6113257,5.6113257
KLHDC3,5.6102176,5.6102176
EID1,5.6043386,5.6043386
CBX1,5.603295,5.603295
CST3,5.6020746,5.6020746
MT-ND5,5.6020727,5.6020727
FAU,5.6011047,5.6011047
MYL6,5.6006107,5.6006107
RPL7,5.598064,5.598064
CCL21,5.5970297,5.5970297
ZFP36,5.5883355,5.5883355
MGP,5.583915,5.583915
LTF,5.583089,5.583089
C1R,5.582726,5.582726
CTSS,5.5826406,5.5826406
CIRBP,5.5821204,5.5821204
